converted from lammps dump file
 
 46656 atoms
 
1 atom types
 
         -0.2154440000          50.6907000000  xlo xhi
         -0.2154440000          50.6907000000  ylo yhi
         -0.2154440000          50.6907000000  zlo zhi
 
  Masses
 
  1 12.0107
 
  Atoms
 
487 1 4.15347 24.8654 22.7815
488 1 16.1204 24.2092 18.7127
489 1 19.3006 25.2437 17.7487
490 1 27.8693 27.4801 14.5006
491 1 41.7645 31.0527 16.827
492 1 45.9515 26.0785 16.71
493 1 5.6818 37.6746 20.4323
494 1 14.4922 34.3344 14.4196
495 1 29.8916 39.5374 11.4905
496 1 29.6945 36.6834 13.8732
497 1 42.5261 34.8224 14.177
498 1 47.6602 37.9097 14.9242
499 1 4.03875 46.9228 21.421
500 1 13.6615 43.8255 14.0924
501 1 22.4691 47.571 11.5704
502 1 25.6761 43.6979 15.5276
503 1 40.4176 43.9647 17.8181
504 1 49.8138 42.0628 13.2788
505 1 0.424166 4.60169 23.7515
506 1 11.1882 -0.0521266 27.1859
507 1 25.2097 3.23966 24.0888
508 1 29.0188 1.72062 20.592
509 1 37.5157 2.98078 21.118
510 1 43.2283 5.15129 20.3821
511 1 8.96495 9.95549 21.0723
512 1 15.9369 7.75678 28.7323
513 1 26.2516 10.2403 22.7926
514 1 30.2606 7.89412 18.3099
515 1 40.8493 4.80316 24.334
516 1 47.4154 11.25 22.1814
517 1 6.59661 22.3362 19.9969
518 1 15.8359 18.2674 21.8929
519 1 26.0923 18.4549 29.529
520 1 31.6835 17.1391 29.0218
521 1 40.6559 14.9311 24.9904
522 1 49.6071 17.8411 26.1802
523 1 3.14933 23.7277 27.8426
524 1 8.3925 29.1342 23.1893
525 1 20.9783 22.682 27.3976
526 1 28.6636 28.9899 26.1879
527 1 35.0218 25.7636 23.79
528 1 47.3633 29.4886 24.2143
529 1 3.28346 42.7088 23.049
530 1 14.8877 39.4365 18.1594
531 1 24.3591 37.2176 22.6499
532 1 31.5696 32.3283 25.1042
533 1 37.8677 36.164 23.4783
534 1 46.9593 37.8112 25.1136
535 1 2.36344 43.2343 26.5764
536 1 12.432 43.2765 24.6089
537 1 17.2384 48.7437 20.3452
538 1 31.2557 44.973 28.914
539 1 33.1916 43.2439 20.8069
540 1 2.49008 46.7805 22.9616
541 1 3.72194 1.90932 32.2852
542 1 13.5072 2.51709 36.6176
543 1 21.6394 2.6267 32.9819
544 1 33.5556 2.61312 31.9512
545 1 37.9764 2.57073 38.3319
546 1 42.4757 3.45795 37.2348
547 1 1.75661 12.0991 37.6115
548 1 20.9051 9.73547 36.4499
549 1 22.891 10.0914 34.0201
550 1 29.8342 9.18764 30.6217
551 1 41.5494 10.9315 32.4594
552 1 6.27268 8.8172 31.9169
553 1 6.79595 16.9451 35.5987
554 1 11.8013 18.7749 33.104
555 1 21.5941 19.1833 31.726
556 1 35.4061 20.9425 33.244
557 1 36.9737 17.7874 37.4944
558 1 50.2005 16.082 37.228
559 1 4.5964 28.6056 28.8446
560 1 10.915 22.7804 36.6791
561 1 25.9628 27.788 33.8041
562 1 33.5022 21.2952 34.6183
563 1 39.9224 33.1811 34.9991
564 1 2.58575 21.2121 36.0117
565 1 4.70426 36.7498 35.0933
566 1 10.0024 38.4914 36.8397
567 1 18.9999 31.4458 30.6603
568 1 29.7963 37.8429 37.8046
569 1 36.3561 39.0947 32.1738
570 1 48.6187 32.3479 35.9909
571 1 11.6867 47.2033 33.4902
572 1 16.2315 46.9307 34.084
573 1 22.4964 43.243 38.2762
574 1 29.0251 46.0452 26.9969
575 1 38.0897 40.4733 30.7529
576 1 44.2031 45.3391 31.6326
577 1 8.15058 0.559797 47.9943
578 1 14.0961 4.60452 42.1107
579 1 18.1028 2.21839 44.2093
580 1 29.3074 4.28871 37.139
581 1 43.2133 1.28649 40.5474
582 1 42.9242 2.27654 45.2694
583 1 4.70743 8.41889 39.9262
584 1 8.97922 9.25442 42.5453
585 1 23.3328 14.1245 41.2936
586 1 35.0501 11.912 33.4971
587 1 37.6689 14.9369 43.4119
588 1 49.4324 12.4685 40.716
589 1 7.28752 19.4298 37.9947
590 1 8.18822 19.2952 46.3496
591 1 19.3977 22.3574 41.9991
592 1 33.6057 21.2737 43.2458
593 1 38.5593 20.9659 40.1336
594 1 48.8582 17.4642 40.5662
595 1 7.97445 25.22 43.7672
596 1 12.7044 22.2054 42.1058
597 1 23.4647 26.3217 40.7123
598 1 31.3063 28.3517 39.588
599 1 45.67 24.4021 39.0309
600 1 48.2531 27.5216 39.8779
601 1 7.00464 36.3246 39.2136
602 1 15.1298 33.775 44.9985
603 1 20.8681 37.8331 42.3528
604 1 30.0688 37.1616 38.8514
605 1 35.5743 31.4242 40.3796
606 1 46.9955 35.9589 40.3227
607 1 2.80242 46.3179 38.0591
608 1 20.4888 42.3816 43.8874
609 1 22.0938 46.6491 42.3516
610 1 31.1184 47.4916 41.3526
611 1 38.112 45.6143 43.2568
612 1 45.6439 40.5277 38.3592
613 1 7.19852 4.47583 48.2161
614 1 17.7323 50.4605 49.9075
615 1 17.4295 3.47715 50.0848
616 1 32.1286 4.63556 46.8145
617 1 39.7802 6.39963 48.5711
618 1 49.313 2.90365 50.1908
619 1 3.22007 13.5696 47.8065
620 1 11.2631 13.1994 49.9197
621 1 25.9399 8.86514 48.0849
622 1 30.7046 10.7094 49.5917
623 1 37.5218 12.5664 49.7799
624 1 44.0157 13.551 50.2128
625 1 5.73966 14.4295 48.3535
626 1 14.5922 20.7985 46.5978
627 1 23.2125 18.9111 -0.156292
628 1 27.6865 19.606 1.31236
629 1 41.8474 21.8707 2.55777
630 1 44.8907 18.3444 42.5334
631 1 5.67554 25.5334 48.4637
632 1 14.7931 31.3278 47.5775
633 1 18.8606 29.9828 4.84715
634 1 26.232 24.9017 48.039
635 1 37.2854 29.4659 42.7574
636 1 50.5945 27.2355 0.53536
637 1 2.98935 34.2929 48.5136
638 1 12.2846 32.3259 49.2747
639 1 22.539 41.2405 44.468
640 1 33.0672 37.1824 3.86823
641 1 41.3904 32.694 46.9034
642 1 48.1379 38.2747 46.2974
643 1 5.4152 40.4699 46.3723
644 1 13.2937 47.8483 2.48543
645 1 23.2412 41.2531 1.17771
646 1 31.9932 48.4581 0.180194
647 1 43.1153 39.5576 48.7192
648 1 45.3496 38.8552 4.76951
649 1 13.7376 2.62499 2.46847
650 1 14.4071 4.3552 0.0986516
651 1 26.2199 7.15417 1.77867
652 1 31.537 6.05984 49.2512
